ID TWEET	Country Profile	City Profile	Address Real	Status
1175546394318389260	日本	矢板市	439 Naka, Yaita, Tochigi 329-2135, Japan	Tweet de Local diferente
1175546599839272962	Italy	Florence	Firenze S.M.N., Piazza di Santa Maria Novella, 50123 Firenze FI, Italy	Tweet do mesmo local
1175547128342401024	United States	Ojai	423 E Ojai Ave, Ojai, CA 93023, USA	Tweet do mesmo local
1175547254154809344	United States	Butte	2220 I-90BL, Butte, MT 59701, USA	Tweet do mesmo local
1175547287730130944	Malaysia	Semenyih	Jalan Semenyih, Selangor, 43500 Semenyih, Malaysia	Tweet do mesmo local
1175547380013264898	United States	Tehachapi	846 Tucker Rd, Tehachapi, CA 93561, USA	Tweet do mesmo local
1175547476453015553	Argentina	Ciudad Autónoma de Buenos Aires	Av. Díaz Vélez 5172, C1405DCT CABA, Argentina	Tweet de Local diferente
1175547786856665090	日本	北区	Akabane Station, 1-chōme-1 Akabane, Kita City, Tōkyō-to 115-0045, Japan	Tweet de Local diferente
1175547828791152640	Colombia	Bogotá, D.C.	Cra. 58d ##146-51, Bogotá, Colombia	Tweet de Local diferente
1175547996576071680	日本	米原市	475 Maihara, Maibara, Shiga 521-0012, Japan	Tweet do mesmo local
1175548097209856000	United States	San Diego	998 Fourth Ave, San Diego, CA 92101, USA	Tweet do mesmo local
1175548105602809856	United States	Greenport	115 Front St, Greenport, NY 11944, USA	Tweet do mesmo local
1175548558604296192	United States	Park City	636 Park Ave, Park City, UT 84060, USA	Tweet do mesmo local
1175548600551534592	Canada	Victoria	613 Pandora Ave, Victoria, BC V8W 1P5, Canada	Tweet do mesmo local
1175548797662965761	Venezuela	Nuestra Señora del Rosario de Baruta	12 Avenida Río Caura, Caracas 1080, Miranda, Venezuela	Tweet de Local diferente
1175548978030530560	United States	Salt Lake City	400 S, Salt Lake City, UT 84111, USA	Tweet do mesmo local
1175549011564146690	Venezuela	Caracas	Pasaje Gradillas, Avenida Sur 1, Caracas 1012, Distrito Capital, Venezuela	Tweet do mesmo local
1175549032535511040	United States	California	Cactus Flats Rd, Olancha, CA 93549, USA	Tweet do mesmo local
1175549179332038657	México	Minatitlán	Av Justo Sierra 184, Nueva Mina, 96760 Minatitlán, Ver., Mexico	Tweet do mesmo local
1175549305161207808	Brasil	Arraial do Cabo	Trav. Carlos Gomes, 31 - Centro, Arraial do Cabo - RJ, 28930-000, Brazil	Tweet do mesmo local
1175549359687004162	Peru	Jesús Maria	Mariano Carranza 431, Cercado de Lima 15046, Peru	Tweet de Local diferente
1175549481359560704	United States	Oakland	2845 64th Ave, Oakland, CA 94605, USA	Tweet do mesmo local
1175549691045535746	日本	中央区	Japan, 〒104-0031 Tokyo, Chuo City, Kyobashi, 7, 2-7-8 ファースト キャビン 1Ｆ	Tweet de Local diferente
1175549913343520769	Canada	Halifax	1898 Brunswick St, Halifax, NS B3J 3J8, Canada	Tweet do mesmo local
1175549972084707328	United States	Croton-on-Hudson	1008 Brown St, Peekskill, NY 10566, USA	Tweet de Local diferente
1175550085318488064	Brasil	Itaboraí	R. G Ac Est Benevenuto Rodrigues Silv, 123 - Centro, Itaboraí - RJ, 24860-000, Brazil	Tweet do mesmo local
1175550123050524672	Malaysia	Kuala Lumpur	2, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia	Tweet do mesmo local
1175550219544666119	Brasil	Marau	R. Reinoldo Mate, 1191, Marau - RS, 99150-000, Brazil	Tweet do mesmo local
1175550588622430208	日本	和光市	Shibamiya St, Wako, Saitama, Japan	Tweet de Local diferente
1175550697678483456	台灣	台中市	No. 1200, Zhongping Road, Beitun District, Taichung City, Taiwan 406	Tweet do mesmo local
1175550781577023488	United States	Portland	2828 SE Taylor St, Portland, OR 97214, USA	Tweet do mesmo local
1175551175841566721	United States	Atlanta	Georgia State Capitol, Atlanta, GA 30334, USA	Tweet do mesmo local
1175551364602179584	United States	Connecticut	246 Main St, Monroe, CT 06468, USA	Tweet do mesmo local
1175551461070999552	United States	Irvine	10 Cove, Irvine, CA 92604, USA	Tweet do mesmo local
1175551461054279680	United States	Texas	531 Lighthouse Dr, Horseshoe Bay, TX 78657, USA	Tweet do mesmo local
1175551578511745026	New Zealand	Dunedin City	96 Signal Hill Rd, Opoho, Dunedin 9010, New Zealand	Tweet do mesmo local
1175551750448672768	United States	Erie	2207 Peach St, Erie, PA 16502, USA	Tweet do mesmo local
1175551821743632386	United States	Jersey City	198 Kensington Ave, Jersey City, NJ 07306, USA	Tweet do mesmo local
1175551876303077379	United States	Doral	11551 NW 12th St, Miami, FL 33172, USA	Tweet do mesmo local
1175552035674099712	United States	Pomona	100 E 2nd St, Pomona, CA 91766, USA	Tweet do mesmo local
